product_id,product_name,category,price,target_demographic,seasonality,product_age_months,growth_potential,current_trend_value,social_mentions_weekly,search_volume_weekly
1,Vintage Clock by ElegantLiving,Home Decor,444.39,"Children, Young Adults, Seniors",2,32,11,48,201,298
2,Smart Tea by FlavorsDelight,Food & Beverage,49.52,"Women, Men",5,21,57,81,295,446
3,Handcrafted Lamp by ElegantLiving,Home Decor,93.25,"Students, Men",2,3,45,48,66,395
4,Organic Tea by FlavorsDelight,Food & Beverage,37.18,"Teenagers, Families, Children",3,30,68,18,44,54
5,Durable Vase by CozyNest,Home Decor,356.47,"Teenagers, Parents, Women",4,33,89,35,118,99
6,Premium Gourmet Set by FlavorsDelight,Food & Beverage,44.98,"Parents, Families, Professionals",4,1,79,71,284,514
7,Modern Supplements by WellnessDaily,Health,98.91,"Young Adults, Parents",4,6,38,100,381,500
8,Adjustable Vase by ElegantLiving,Home Decor,245.52,"Families, Young Adults, Women",3,11,30,52,145,211
9,Handcrafted Paint Set by ArtistChoice,Art Supplies,30.45,"Teenagers, Children",1,20,90,48,228,99
10,Handcrafted Camping Gear by WildTrek,Outdoors,43.5,Children,2,22,21,12,54,85
11,Modern Massager by VitalWell,Health,56.02,"Professionals, Women",2,12,34,88,279,582
12,Smart Hammock by NatureExplorer,Outdoors,100.26,Women,3,9,30,32,105,308
13,Portable Collar by PetComfort,Pet Supplies,64.58,Women,3,18,19,72,77,323
14,Luxury Pen Set by ProductivityPlus,Office,168.88,"Families, Seniors, Teenagers",1,21,23,58,164,579
15,Modern Reference Guide by MindJourney,Books,23.26,Professionals,2,3,60,36,161,159
16,Eco-Friendly Non-Fiction by ReadMore,Books,31.73,"Seniors, Professionals",5,1,21,88,353,712
17,Smart Fiction by StoryWorld,Books,13.19,Men,3,15,59,80,265,280
18,Portable Supplements by HolisticLife,Health,70.99,Families,2,22,63,40,61,357
19,Organic Socks by ModernChic,Clothing,97.38,"Young Adults, Families",3,6,55,47,67,420
20,Modern Knife Set by KitchenPro,Kitchen,55.41,"Seniors, Parents, Children",4,11,63,54,54,460
21,Luxury Massager by PureHealth,Health,16.46,Teenagers,5,36,61,32,104,223
22,Adjustable Mirror by CozyNest,Home Decor,99.82,Parents,3,29,24,43,152,370
23,Eco-Friendly Tea by GourmetSelect,Food & Beverage,14.0,"Parents, Young Adults, Families",2,19,50,32,127,156
24,Organic Desk Organizer by DeskMaster,Office,12.44,"Students, Parents, Women",1,16,54,26,50,68
25,Eco-Friendly Cutting Board by KitchenPro,Kitchen,363.54,"Students, Children, Men",2,16,61,20,91,153
26,Smart Lamp by HomeEssence,Home Decor,466.12,"Men, Women",1,27,14,100,412,775
27,Handcrafted Knife Set by GourmetBasics,Kitchen,312.67,Professionals,1,10,92,78,375,637
28,Organic Plush Toy by KidJoy,Toys,92.27,"Seniors, Parents, Women",1,5,25,55,260,357
29,Organic Jeans by ComfortZone,Clothing,101.16,"Seniors, Students",1,7,28,40,166,346
30,Professional Vase by CozyNest,Home Decor,40.37,Children,2,20,41,23,42,204
31,Professional Speaker by SmartLife,Electronics,1652.11,"Men, Women, Families",2,23,97,73,139,176
32,Budget Tea by NatureBoost,Health,60.76,"Professionals, Students",3,25,53,94,344,895
33,Adjustable Jeans by EcoWear,Clothing,161.71,Young Adults,5,32,10,37,54,112
34,Adjustable Essential Oils by NatureBoost,Health,48.78,Families,5,21,75,53,164,328
35,Portable Supplements by PureHealth,Health,34.59,"Professionals, Young Adults, Students",5,22,21,39,154,226
36,Durable Plush Toy by KidJoy,Toys,94.22,"Students, Families",1,33,25,27,34,263
37,Professional Pet Bed by PetLove,Pet Supplies,92.7,"Families, Students, Women",5,5,16,33,143,178
38,Lightweight Cookbook by PageTurner,Books,35.95,Seniors,1,17,36,73,294,708
39,Durable Coasters by ArtisanCreations,Handmade,295.66,Students,2,7,28,73,108,476
40,Handcrafted Moisturizer by BeautyEssence,Beauty,110.99,Young Adults,4,1,32,93,344,797
41,Smart Spices by FlavorsDelight,Food & Beverage,21.46,Young Adults,4,19,11,92,431,678
42,Organic Building Blocks by PlayTime,Toys,91.73,Parents,2,35,99,81,347,642
43,Budget Yoga Mat by ActiveLife,Fitness,248.62,Men,1,32,17,68,204,635
44,Budget Camping Gear by NatureExplorer,Outdoors,493.67,Children,2,25,53,71,156,576
45,Smart Collar by WagWell,Pet Supplies,34.01,"Women, Families",1,15,26,100,211,533
46,Eco-Friendly Soap by HandmadeWonder,Handmade,24.51,"Seniors, Students",4,4,56,78,207,197
47,Smart Jewelry by CraftedLife,Handmade,159.54,Students,2,26,51,92,351,373
48,Portable Scarf by ModernChic,Clothing,153.05,"Men, Students, Families",1,24,27,47,107,402
49,Adjustable Serum by LuxeBeauty,Beauty,123.2,"Men, Families, Students",4,32,52,58,129,334
50,Luxury Non-Fiction by BookWorm,Books,31.79,Students,2,6,84,81,274,274
51,Portable Tea by FoodCraft,Food & Beverage,49.69,"Students, Teenagers, Parents",4,23,55,60,224,273
52,Eco-Friendly Sketchbook by ColorCraft,Art Supplies,35.1,"Parents, Women, Men",1,16,35,37,46,80
53,Vintage Cookware by ChefChoice,Kitchen,327.99,"Young Adults, Teenagers",3,17,43,51,224,115
54,Adjustable Non-Fiction by StoryWorld,Books,28.15,Seniors,4,24,66,19,72,104
55,Modern Yoga Mat by FlexFit,Fitness,292.33,"Children, Men",5,1,37,35,174,174
